text,title,url,source,label,language,collected_at
"A video clip, allegedly showing sand dredgers crashing into a bridge over a flooded river, has been widely shared on social media. Some YouTube users have claimed that the footage depicts recent floods in Nepal, which resulted in the deaths of over 220 people, with 25 still missing. The disaster caused significant economic losses in the largely mountainous country. In the past few days, the video of multiple sand dredgers colliding with a concrete bridge has gained traction, particularly among YouTubers from India and Nepal. They claim that the 1 minute and 36 second clip (shorter versions of the same video have also circulated online) shows a flooded river in Nepal. Fact-check During our fact-checking, we downloaded the video, captured screenshots, and conducted a reverse image search on Google. The search led us to a Vietnamese website. After translating the news report using Google Translate, we found that the river in question is the Chay River, located in Yen Bai province, Vietnam. The bridge shown in the video is To Mau bridge. On September 9, 2024, several sand dredgers were swept away by strong currents and collided with the bridge. According to CNN, Typhoon Yagi hit Vietnam and other Southeast Asian countries in September, resulting in landslides and floods that claimed at least 226 lives in Vietnam. Based on this evidence, we have confirmed that the video does not show recent floods in Nepal. Instead, it captures flooding in Vietnam following Typhoon Yagi. ClaimClaimed byNepal Check VerdictVideo shows sand dredgers crashing into a bridge over flooded river in NepalSocial media usersMisleadingNepal Check verdict after fact-checking a video claiming to show sand dredgers hitting a bridge over a flooded river in Nepal. Let's fight misinformation. Share this article via:Tweet Email a link to a friend (Opens in new window) Email Share on WhatsApp (Opens in new window) WhatsApp",,https://nepalcheck.org/2024/10/04/fact-check-claims-of-sand-dredgers-crashing-into-a-bridge-in-nepal-floods-are-misleading/,nepalcheck,1,ne/en,2026-06-10T09:02:49.369603
"Fact-check: Claims of Sand Dredgers Crashing Into a Bridge in Nepal Floods Are Misleading. A video clip, allegedly showing sand dredgers crashing into a bridge over a flooded river, has been widely shared on social media. Some YouTube users have claimed that the footage depicts recent floods in Nepal, which resulted in the deaths of over 220 people, with 25 still missing. The disaster caused significant economic losses in the largely mountainous country. In the past few days, the video of multiple sand dredgers colliding with a concrete bridge has gained traction, particularly among YouTubers from India and Nepal. They claim that the 1 minute and 36 second clip (shorter versions of the same video have also circulated online) shows a flooded river in Nepal. Fact-check During our fact-checking, we downloaded the video, captured screenshots, and conducted a reverse image search on Google. The search led us to a Vietnamese website. After translating the news report using Google Translate, we found that the river in question is the Chay River, located in Yen Bai province, Vietnam. The bridge shown in the video is To Mau bridge. On September 9, 2024, several sand dredgers were swept away by strong currents and collided with the bridge. According to CNN, Typhoon Yagi hit Vietnam and other Southeast Asian countries in September, resulting in landslides and floods that claimed at least 226 lives in Vietnam. Based on this evidence, we have confirmed that the video does not show recent floods in Nepal. Instead, it captures flooding in Vietnam following Typhoon Yagi. ClaimClaimed byNepal Check VerdictVideo shows sand dredgers crashing into a bridge over flooded river in NepalSocial media usersMisleadingNepal Check verdict after fact-checking a video claiming to show sand dredgers hitting a bridge over a flooded river in Nepal. Let's fight misinformation. Share this article via:Tweet Email a link to a friend (Opens in new window) Email Share on WhatsApp (Opens in new window) WhatsApp",Fact-check: Claims of Sand Dredgers Crashing Into a Bridge in Nepal Floods Are Misleading,https://nepalcheck.org/2024/10/04/fact-check-claims-of-sand-dredgers-crashing-into-a-bridge-in-nepal-floods-are-misleading/,nepalcheck,1,ne/en,2026-06-10T09:02:51.292286
"A Saurya Airlines plane crashed shortly after takeoff from Kathmandu airport on July 24, 2024, killing 18 people, including airline engineers and management staff. In the wake of the disaster, misleading information began circulating on social media, with users sharing outdated photos and videos falsely claiming to show the crash. On July 24, 2024, an X user named @ChoudharyTany posted three video clips and two images with the hashtags #nepal #kathmandu #planecrash. While the videos accurately captured the July 24 crash, the photos were from previous aviation disasters in Nepal. “Life is passing through the paths of sorrow. Life is passing through so many accidents. This should not happen to even an enemy. May God give the families affected by the accident the strength to bear it,” reads the Hindi-language post on X. Similarly, a Twitter user named @aviationa2z posted the same photo alongside a headshot of pilot Manish Ratna Shakya, the sole survivor of the crash. Another X user, @LogicJourney, shared similar photos and a video, claiming that they showed the Sarya Airlines aircraft. To verify the accuracy of the content, we conducted a reverse image search and keyword searches. The photos shared by these users were identified as belonging to the 2018 US-Bangla Airlines crash and the 2023 Yeti Airlines crash. The video showing a plane plummeting to the ground was from the 2023 Yeti Airlines crash. A screenshot of a news headline and photo of the US-Bangla Airlines plane that crash-landed in Kathmandu The US-Bangla Airlines flight crash-landed at Kathmandu International Airport in March 2018, resulting in 51 deaths and 20 serious injuries. An investigation attributed the crash to pilot error, citing stress and emotional factors. The Yeti Airlines plane, carrying 72 people, crashed in Pokhara in January 2023, killing all on board. The pilot inadvertently pulled the wrong lever to operate the wing flaps, which caused the crash, according to a probe report. A screenshot ",,https://nepalcheck.org/2024/07/25/old-photos-and-videos-falsely-shared-following-deadly-nepal-plane-crash/,nepalcheck,1,ne/en,2026-06-10T09:02:53.043543
"Old Photos and Videos Falsely Shared Following Deadly Nepal Plane Crash. A Saurya Airlines plane crashed shortly after takeoff from Kathmandu airport on July 24, 2024, killing 18 people, including airline engineers and management staff. In the wake of the disaster, misleading information began circulating on social media, with users sharing outdated photos and videos falsely claiming to show the crash. On July 24, 2024, an X user named @ChoudharyTany posted three video clips and two images with the hashtags #nepal #kathmandu #planecrash. While the videos accurately captured the July 24 crash, the photos were from previous aviation disasters in Nepal. “Life is passing through the paths of sorrow. Life is passing through so many accidents. This should not happen to even an enemy. May God give the families affected by the accident the strength to bear it,” reads the Hindi-language post on X. Similarly, a Twitter user named @aviationa2z posted the same photo alongside a headshot of pilot Manish Ratna Shakya, the sole survivor of the crash. Another X user, @LogicJourney, shared similar photos and a video, claiming that they showed the Sarya Airlines aircraft. To verify the accuracy of the content, we conducted a reverse image search and keyword searches. The photos shared by these users were identified as belonging to the 2018 US-Bangla Airlines crash and the 2023 Yeti Airlines crash. The video showing a plane plummeting to the ground was from the 2023 Yeti Airlines crash. A screenshot of a news headline and photo of the US-Bangla Airlines plane that crash-landed in Kathmandu The US-Bangla Airlines flight crash-landed at Kathmandu International Airport in March 2018, resulting in 51 deaths and 20 serious injuries. An investigation attributed the crash to pilot error, citing stress and emotional factors. The Yeti Airlines plane, carrying 72 people, crashed in Pokhara in January 2023, killing all on board. The pilot inadvertently pulled the wrong lever to operate the wing flaps, which caused the crash, according to a probe report. A screenshot ",Old Photos and Videos Falsely Shared Following Deadly Nepal Plane Crash,https://nepalcheck.org/2024/07/25/old-photos-and-videos-falsely-shared-following-deadly-nepal-plane-crash/,nepalcheck,1,ne/en,2026-06-10T09:02:54.775515
"A video has been circulating on social media purportedly showing Kathmandu’s deputy mayor, Sunita Dangol, endorsing Deputy Prime Minister and Home Minister Rabi Lamichhane amidst calls for his resignation. Lamichhane, also the chair of Rastriya Swatantra Party, has faced allegations of misappropriation of cooperative funds during his tenure as the managing director of Galaxy 4K Television. The opposition Nepali Congress has been pressuring him to step down over these allegations. The video in question, shared by TikTok user @kapil_brother, overlays text suggesting Dangol’s unwavering support for Lamichhane during a public speech. The text reads: “Sunita Dangol stood like a pillar in support of Rabi Lamichhane. Don’t worry Rabi Dai despite Gyanendra (Shahi) demanding your resignation. I am with you.” The post also has an audio recording of Dangol’s address, in which she says, “Honorable Deputy Prime Minister and Home Minister Rabi Lamichhane, Home Secretary, IGP sir, chief district officer, officials on the stage and representatives of various organizations.” (The TikTok post is no longer available) A screengrab of the video of Dangol’s speech shared on a Facebook fanpage Upon closer examination, we found that Dangol was speaking at a formal event organized by the Valley Traffic Police to raise awareness about road safety during the Nepali new year of 2081. Lamichhane inaugurated the campaign, according to My Republica. A digital investigation by Nepal Check involved a reverse image search, leading to the discovery of a 17-minute video of Dangol’s speech posted on April 15, 2024, on a Facebook page named Sunita Dangol Fanpage. In her speech, Dangol spoke of her own experience being a volunteer traffic and highlighted the need to increase awareness on road safety. Contrary to the claim, Dangol made no mention of supporting Lamichhane in her address. Therefore, the claim that Kathmandu deputy mayor Sunita Dangol supported Deputy Prime Minister and Home Minister Lamichh",,https://nepalcheck.org/2024/05/01/viral-tiktok-post-claiming-deputy-mayors-support-for-lamichhane-is-misleading/,nepalcheck,1,ne/en,2026-06-10T09:02:56.523663
"TikTok Post Claiming Deputy Mayor’s Support for Lamichhane Is Misleading. A video has been circulating on social media purportedly showing Kathmandu’s deputy mayor, Sunita Dangol, endorsing Deputy Prime Minister and Home Minister Rabi Lamichhane amidst calls for his resignation. Lamichhane, also the chair of Rastriya Swatantra Party, has faced allegations of misappropriation of cooperative funds during his tenure as the managing director of Galaxy 4K Television. The opposition Nepali Congress has been pressuring him to step down over these allegations. The video in question, shared by TikTok user @kapil_brother, overlays text suggesting Dangol’s unwavering support for Lamichhane during a public speech. The text reads: “Sunita Dangol stood like a pillar in support of Rabi Lamichhane. Don’t worry Rabi Dai despite Gyanendra (Shahi) demanding your resignation. I am with you.” The post also has an audio recording of Dangol’s address, in which she says, “Honorable Deputy Prime Minister and Home Minister Rabi Lamichhane, Home Secretary, IGP sir, chief district officer, officials on the stage and representatives of various organizations.” (The TikTok post is no longer available) A screengrab of the video of Dangol’s speech shared on a Facebook fanpage Upon closer examination, we found that Dangol was speaking at a formal event organized by the Valley Traffic Police to raise awareness about road safety during the Nepali new year of 2081. Lamichhane inaugurated the campaign, according to My Republica. A digital investigation by Nepal Check involved a reverse image search, leading to the discovery of a 17-minute video of Dangol’s speech posted on April 15, 2024, on a Facebook page named Sunita Dangol Fanpage. In her speech, Dangol spoke of her own experience being a volunteer traffic and highlighted the need to increase awareness on road safety. Contrary to the claim, Dangol made no mention of supporting Lamichhane in her address. Therefore, the claim that Kathmandu deputy mayor Sunita Dangol supported Deputy Prime Minister and Home Minister Lamichh",TikTok Post Claiming Deputy Mayor’s Support for Lamichhane Is Misleading,https://nepalcheck.org/2024/05/01/viral-tiktok-post-claiming-deputy-mayors-support-for-lamichhane-is-misleading/,nepalcheck,1,ne/en,2026-06-10T09:02:58.257575
"TikTok post claiming Deuba fleed Delhi for Singapore Arzu Rana Deuba, a lawmaker from the Nepali Congress, recently traveled to New Delhi, the capital of India. However, her trip sparked unverified news reports in mainstream media and misinformation on social media. TikTok users claimed that she was arrested in New Delhi over her alleged involvement in a Bhutanese refugee scam. TikTok user @shauravk9 posted photos of Deuba alongside Deputy Prime Minister and Home Minister Rabi Lamichhane, falsely claiming that she was attempting to flee to Singapore from New Delhi due to an alleged arrest order issued by Lamichhane. In a similar post, @raznabin3 claimed that she was arrested in New Delhi. In the first post, the text superimposed on the photo of Deuba along with an audio read: “National Bhauju (wife of elder brother in Nepali) fleeing Delhi for Singapore. Arzu Deuba linked to the Bhutanese refugee scam. Home Minister Rabi (Lamichhane) made a direct call to her.” TikTok post claiming Deuba was arrested in New Delhi TikTok user @raznabin3’s post read, “Rabi (Lamichhane) arrested Arzu (Rana) in Delhi over a fake refugee scam. It doesn’t matter if we call Arzu the most corrupt woman in the world because there’s no woman who has engaged in corruption more than her.” Together, the two posts have been viewed tens of thousands of times. Both users’ claims came in the wake of high-profile arrests in Nepal, including that of former speaker Krishna Bahadur Mahara, allegedly involved in a gold smuggling case (Mahara, a Maoist politician, was released by the police). In July last year, police recovered a leaked audio recording from a suspect in the refugee scam which suggested Deuba received bribes from the suspect. She had denied allegations. Police haven’t probed into the case linking her. These claims were debunked by Deuba through a press statement, where she clarified that she had undergone surgery for hyperparathyroidism at Max Hospital in New Delhi and had left Nepal on Ma",,https://nepalcheck.org/2024/04/08/tiktok-posts-falsely-claim-arrest-of-arzu-rana-deuba-in-india/,nepalcheck,1,ne/en,2026-06-10T09:02:59.997723
"TikTok posts falsely claim arrest of Arzu Rana Deuba in India. TikTok post claiming Deuba fleed Delhi for Singapore Arzu Rana Deuba, a lawmaker from the Nepali Congress, recently traveled to New Delhi, the capital of India. However, her trip sparked unverified news reports in mainstream media and misinformation on social media. TikTok users claimed that she was arrested in New Delhi over her alleged involvement in a Bhutanese refugee scam. TikTok user @shauravk9 posted photos of Deuba alongside Deputy Prime Minister and Home Minister Rabi Lamichhane, falsely claiming that she was attempting to flee to Singapore from New Delhi due to an alleged arrest order issued by Lamichhane. In a similar post, @raznabin3 claimed that she was arrested in New Delhi. In the first post, the text superimposed on the photo of Deuba along with an audio read: “National Bhauju (wife of elder brother in Nepali) fleeing Delhi for Singapore. Arzu Deuba linked to the Bhutanese refugee scam. Home Minister Rabi (Lamichhane) made a direct call to her.” TikTok post claiming Deuba was arrested in New Delhi TikTok user @raznabin3’s post read, “Rabi (Lamichhane) arrested Arzu (Rana) in Delhi over a fake refugee scam. It doesn’t matter if we call Arzu the most corrupt woman in the world because there’s no woman who has engaged in corruption more than her.” Together, the two posts have been viewed tens of thousands of times. Both users’ claims came in the wake of high-profile arrests in Nepal, including that of former speaker Krishna Bahadur Mahara, allegedly involved in a gold smuggling case (Mahara, a Maoist politician, was released by the police). In July last year, police recovered a leaked audio recording from a suspect in the refugee scam which suggested Deuba received bribes from the suspect. She had denied allegations. Police haven’t probed into the case linking her. These claims were debunked by Deuba through a press statement, where she clarified that she had undergone surgery for hyperparathyroidism at Max Hospital in New Delhi and had left Nepal on Ma",TikTok posts falsely claim arrest of Arzu Rana Deuba in India,https://nepalcheck.org/2024/04/08/tiktok-posts-falsely-claim-arrest-of-arzu-rana-deuba-in-india/,nepalcheck,1,ne/en,2026-06-10T09:03:01.722193
"A photo of Toshima Karki, a former state minister for health and a lawmaker of Rastriya Swatantra Party, has become viral on social media platforms, including X (formerly Twitter), Facebook and TikTok. On January 29, the X handle @kalpana9133, with 8191 followers, shared a post with the following text: “I don’t know where Salikram Pudasaini and driver are now”. The handle posted a photo of Karki and others holding placards with the same text. The same post has been shared by Facebook user RP Gautam, who has 16,000 followers. On X, handle @BirkhaGadaili posted a cropped photo of Karki holding a placard that read: “When will the cooperative victims get justice?” (see screenshot). On TikTok, @ray_0f_hope (revolutionfornepal) posted the photo on January 31 with placards demanding that party president Rabi Lamichhane resign over the alleged misappropriation of funds from a cooperative. The post, accompanied by sad music, has received 21000 views as of February 2, 2024. What was the context of the protest? On December 29, 2023, two young men, who were protesting against their exclusion from an exam for a South Korean employment scheme, were killed in clashes with police in the Balkumari neighborhood of Lalitpur district. Hundreds of job aspirants had gathered in the area, demanding that they be allowed to take exams for the foreign jobs. Police told The Kathmandu Post that the clashes erupted after police used force to prevent the protesters from storming the Employment Permit System (EPS) office in Balkumari. On December 30, 2023, Toshima Karki, the lawmaker of Rastriya Swatantra Party (RSP), led a protest outside the office. Why has the photo gone viral now? In late December, 2023, news media reported that Lamichhane had illegally taken a loan of Rs 100 million from a cooperative opened by GB Rai, the promoter of Gorkha Media. The company ran Galaxy 4K TV, where Lamichhane was a managing director until he resigned in June 2022 to set up the RSP. Defending himself, Lamic",,https://nepalcheck.org/2024/02/02/fact-check-toshima-karkis-protest-photo-doctored-to-spread-falsehoods/,nepalcheck,1,ne/en,2026-06-10T09:03:03.485293
